Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
154,0,0.0379616,-0.108398,38.8195,-21.7192,-28.3877,-113.361,0.706724,-0.570993,0,0,0,0,0,0,0,-515,0,0
155,0,0.334735,-0.210474,40.106,-63.4606,-88.5437,-98.866,2.20681,-1.58145,0,0,0,0,0,0,0,-515,0,0
156,0,0.190507,-0.183335,37.8956,-60.3567,-69.9998,-162.854,1.83017,-1.58425,0,0,0,0,0,0,0,-515,0,0
157,0,0.220424,-0.185093,36.2436,-80.8348,-47.1852,-145.889,1.29985,-2.237,0,0,0,0,0,0,0,-515,0,0
158,0,0.306566,-0.0969416,38.672,-141.804,6.37099,-191.467,-0.131001,-3.63874,0,0,0,0,0,0,0,-515,0,0
159,0,0.236308,-0.186101,42.0811,-113.415,-53.6693,-260.554,1.23738,-2.72221,0,0,0,0,0,0,0,-515,0,0
160,0,0.3076,-0.158296,40.0797,-66.8321,-57.2278,-310.787,1.41571,-1.65214,0,0,0,0,0,0,0,-515,0,0
161,0,0.474164,-0.136069,37.4151,-43.0599,-12.0482,-306.932,0.307335,-1.14631,0,0,0,0,0,0,0,-515,0,0
162,0,0.394014,0.0541292,38.4767,-70.8982,-24.1042,-317.028,0.616671,-1.83063,0,0,0,0,0,0,0,-515,0,0
163,0,0.331605,-0.0810625,38.701,-76.2438,-30.3003,-282.269,0.782726,-1.96961,0,0,0,0,0,0,0,-515,0,0
164,0,0.589266,-0.0479578,36.9361,-84.2936,1.51372,-260.319,-0.0538257,-2.28796,0,0,0,0,0,0,0,-515,0,0
165,0,0.31207,-0.0355452,37.1225,-73.2098,-14.8682,-257.389,0.395065,-1.97539,0,0,0,0,0,0,0,-515,0,0
166,0,0.293666,0.0568565,36.0401,-51.2162,-42.3901,-217.291,1.18323,-1.4157,0,0,0,0,0,0,0,-515,0,0
