currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
17173,809.11,765.55,755.03,756.28,771.49,-26.37,-812.5,664.06,-3.08,3.64,-5.45,-54.72,3436,0,10.448,-15.8226,-256.319,23388.5,-20130.7,804.639,-576.538,-91.2623,0,56
17211,809.6,766.95,755.03,756.64,772.05,-98.14,-848.14,571.78,-6.61,3.89,-10.87,-72.9,3443,0,16.1064,0.296519,-313.078,25235.1,-24002.7,-1389.14,-574.668,-80.6042,0,56
17247,811.8,769.4,755.19,757.65,773.51,-56.15,-833.01,584.47,-4.09,2.82,-7.18,-110.89,3450,0,15.1196,-4.37008,-310.353,24669.8,-23345.3,-1214.97,-573.221,-79.4905,0,56
17283,809.41,769.87,755.17,757.83,773.07,-44.43,-750,668.95,-11.73,-0.12,-0.34,-109.58,3458,0,17.2634,4.51045,-347.527,25457,-25919.9,-2876.2,-572.584,-73.2538,0,56
17318,811.93,772.21,755.26,758.06,774.37,-60.55,-795.9,663.57,-5.31,-0.71,-4.05,-138.24,3465,0,13.2438,8.42937,-351.637,23334.6,-26068.7,-3568.84,-572.135,-66.3594,0,56
17354,812.47,773.39,755.25,757.91,774.75,-37.6,-824.22,588.38,-7.3,-1.18,-2.98,-147.52,3472,0,11.8177,5.30667,-357.482,23664.5,-26286.7,-3569.21,-571.534,-66.1972,0,56
17390,812.66,773.51,755.22,757.86,774.81,-59.57,-862.3,549.32,-4.37,0.36,1.06,-149.32,3479,0,13.5329,12.847,-377.018,23767.6,-27383.4,-4482.88,-570.632,-63.0409,0,56
17429,813.33,775.99,755.37,758.71,775.85,-63.96,-846.68,575.2,-4.03,-0.6,-0.96,-180.25,3487,0,7.80287,1.7388,-363.658,23836.4,-26184.4,-3238.9,-570.003,-65.5469,0,56
17464,812.12,776.97,755.33,758.85,775.81,-45.41,-808.59,607.42,-5.96,-0.82,3.43,-186.98,3494,0,6.7354,2.0806,-381.45,24590.3,-27563.7,-3826.96,-570.26,-64.4666,0,56
17500,811.44,777.18,755.36,758.96,775.73,-72.75,-831.54,615.72,7.57,-3.46,-3.29,-187.18,3501,0,7.75905,7.70331,-394.106,23068.6,-28077.9,-4450.38,-569.244,-58.5338,0,56
17536,810.87,777.36,755.42,759.69,775.84,-50.78,-808.59,618.65,-1.95,-3.41,-0.64,-196.04,3508,0,6.40445,2.77029,-384.421,22040.2,-27311,-3936.26,-569.045,-57.3335,0,56
17572,809.01,776.94,755.38,760.14,775.37,-65.92,-787.11,842.29,16.08,-15.89,1.6,-193.62,3515,0,4.94637,4.56965,-385.286,21869.8,-27684.5,-4658.86,-569.854,-56.7626,0,56
17610,808.93,777.06,755.41,760.61,775.5,-80.57,-818.85,667.48,0.8,-4.02,1.06,-200.66,3523,0,2.58712,2.08827,-377.155,20567.2,-27172.9,-4007.28,-570.047,-54.5324,0,56
